feature,var_imp,mutual_info,pzeros,pnull,bfs,lasso,boruta,rfe,rand_var
var1_var7_var23,0.029002971279154934,0.04762172031622858,3.469435921642672,0.0,to_keep,to_keep,to_keep,to_keep,to_keep
var1_var7_var28,0.008597181286689598,0.04126563807622907,11.470379985839037,0.0,to_keep,to_remove,to_keep,to_remove,to_keep
var1_var7_var29,0.006560330105330437,0.04829615917089414,6.584847769648336,0.0,to_keep,to_remove,to_keep,to_remove,to_keep
var1_var7_var31,0.008733948271689907,0.053474831670451195,4.389898513098891,0.0,to_keep,to_remove,to_keep,to_remove,to_keep
var1_var7_var39,0.010163035591639691,0.05138097067033254,6.278026905829597,0.0,to_remove,to_remove,to_keep,to_remove,to_keep
var1_var8_var20,0.00980000654515549,0.0777867289112979,11.98961529383998,0.0,to_keep,to_remove,to_keep,to_keep,to_keep
var1_var8_var23,0.0029821540076443187,0.09075412280374362,6.584847769648336,0.0,to_keep,to_remove,to_keep,to_remove,to_keep
var1_var20_var23,0.028244346068873237,0.042268782185218345,3.2098182676422,0.0,to_keep,to_keep,to_keep,to_remove,to_keep
var1_var20_var28,0.0014683410969950756,0.028759942375194747,11.706396034930375,0.0,to_keep,to_remove,to_keep,to_remove,to_keep
var1_var20_var29,0.0014684762000086728,0.038575477974116756,6.986075053103612,0.0,to_keep,to_remove,to_keep,to_remove,to_keep
var1_var20_var39,0.017460298262489623,0.04105425400127838,6.466839745102666,0.0,to_keep,to_remove,to_keep,to_keep,to_keep
var1_var23_var28,0.0021729440409508378,0.03446062138297168,6.60844937455747,0.0,to_keep,to_remove,to_keep,to_remove,to_keep
var2_var3_var8,0.0,0.008054997993580004,58.62638659428841,0.0,to_remove,to_remove,to_remove,to_remove,to_keep
var66_var54,0.001932216277387175,0.011115248897245689,53.29242388482417,0.0,to_keep,to_keep,to_remove,to_remove,to_keep
var65_var54,0.015044618496649564,0.019264759483006655,20.675005900401228,0.0,to_keep,to_keep,to_keep,to_remove,to_keep
var24_var50,0.0038416790534186677,0.010470028780116714,38.16379513806939,0.0,to_keep,to_keep,to_keep,to_remove,to_keep
var48_var54,0.0,0.015333231917371126,57.91833844701439,0.0,to_keep,to_keep,to_remove,to_remove,to_keep
var60_var54,0.00709809560730157,0.022630547588699423,15.270238376209583,0.0,to_keep,to_keep,to_keep,to_remove,to_keep
var64_var53,0.0011139876423225453,0.01408511234198162,4.177484068916686,0.0,to_keep,to_keep,to_remove,to_remove,to_keep
var63_var54,0.01856858289300516,0.007745039232973205,24.94689638895445,0.0,to_keep,to_keep,to_keep,to_keep,to_keep
var53_var54,0.03003776330313317,0.02042946989289729,21.760679726221383,0.0,to_keep,to_keep,to_keep,to_keep,to_keep
var47_var54,0.01932714254494996,0.018702218932094672,23.625206514042954,0.0,to_keep,to_keep,to_keep,to_keep,to_keep
var45_var54,0.007553939878857385,0.013766312875477027,20.675005900401228,0.0,to_keep,to_keep,to_keep,to_remove,to_keep
var46_var54,0.014558235212481587,0.01426244393748699,21.335850837856974,0.0,to_keep,to_keep,to_keep,to_remove,to_keep
var60_var24,0.0013542729730337934,0.02224537889464062,28.8883644087798,0.0,to_keep,to_keep,to_remove,to_remove,to_keep
var51_var54,0.010491600562702407,0.01941739570791201,23.153174415860278,0.0,to_keep,to_keep,to_keep,to_remove,to_keep
var44_var54,0.003235693959241636,0.016081600736030932,54.991739438281805,0.0,to_keep,to_keep,to_remove,to_remove,to_keep
var61_var54,0.0,0.014515159621562912,7.741326410195894,0.0,to_keep,to_keep,to_remove,to_remove,to_keep
